Entity,Day,Monthly concentration,yearly_avg_co2_conc
World,15/01/2008,385.23,383.08334
World,15/02/2008,385.75,383.26666
World,15/03/2008,386.15,383.44415
World,15/04/2008,386.53,383.63165
World,15/05/2008,386.48,383.8275
World,15/06/2008,385.57,384.02
World,15/07/2008,384.1,384.2325
World,15/08/2008,382.77,384.43918
World,15/09/2008,382.55,384.595
World,15/10/2008,383.67,384.72583
World,15/11/2008,385.18,384.87
World,15/12/2008,386.27,385.02084
World,15/01/2009,387.03,385.17084
World,15/02/2009,387.48,385.315
World,15/03/2009,387.71,385.445
World,15/04/2009,387.99,385.56665
World,15/05/2009,387.95,385.68918
World,15/06/2009,386.96,385.805
World,15/07/2009,385.01,385.88083
World,15/08/2009,383.63,385.9525
World,15/09/2009,383.93,386.0675
World,15/10/2009,385.5,386.22
World,15/11/2009,386.94,386.36667
World,15/12/2009,387.84,386.4975
World,15/01/2010,388.62,386.63
World,15/02/2010,389.33,386.78418
World,15/03/2010,389.68,386.94833
World,15/04/2010,389.98,387.11417
World,15/05/2010,389.95,387.28082
World,15/06/2010,389.01,387.45166
World,15/07/2010,387.35,387.64667
World,15/08/2010,386.23,387.86334
World,15/09/2010,386.7,388.09418
World,15/10/2010,388.25,388.32333
World,15/11/2010,389.62,388.54666
World,15/12/2010,390.36,388.75665
World,15/01/2011,390.93,388.94916
World,15/02/2011,391.35,389.1175
World,15/03/2011,391.67,389.28333
World,15/04/2011,392.05,389.45584
World,15/05/2011,392.07,389.6325
World,15/06/2011,391.13,389.80917
World,15/07/2011,389.19,389.9625
World,15/08/2011,387.86,390.09833
World,15/09/2011,388.26,390.22833
World,15/10/2011,389.83,390.36
World,15/11/2011,391.2,390.49167
World,15/12/2011,392.04,390.63165
World,15/01/2012,392.61,390.77167
World,15/02/2012,393.2,390.92584
World,15/03/2012,393.73,391.0975
World,15/04/2012,393.99,391.25916
World,15/05/2012,393.88,391.41
World,15/06/2012,392.84,391.5525
World,15/07/2012,391,391.70334
World,15/08/2012,389.89,391.8725
World,15/09/2012,390.56,392.06418
World,15/10/2012,392.16,392.25833
World,15/11/2012,393.56,392.45502
World,15/12/2012,394.39,392.65085
World,15/01/2013,395.07,392.85583
World,15/02/2013,395.7,393.06418
World,15/03/2013,396.29,393.2775
World,15/04/2013,396.74,393.50668
World,15/05/2013,396.75,393.74585
World,15/06/2013,395.96,394.00583
World,15/07/2013,394.47,394.295
World,15/08/2013,393.24,394.57416
